陂湖禀量,bei,liang
北道主人,bei,ren
备而不用,bei,yong
贝阙珠宫,bei,gong
笔诛墨伐,bi,fa
匕鬯不惊,bi,jing
毕恭毕敬,bi,jing
婢作夫人,bi,ren
壁垒森严,bi,yan
鞭辟近里,bian,li
抃风舞润,bian,run
便辞巧说,bian,shuo
彪炳千古,biao,gu
别有肺肠,bie,chang
秉笔直书,bing,shu
并蒂芙蓉,bing,rong
拨草寻蛇,bo,she
拨云见日,bo,ri
伯道无儿,bo,er
卜夜卜昼,bu,zhou
不茶不饭,bu,fan
不齿于人,bu,ren
不愤不启,bu,qi
不名一钱,bu,qian
不期而然,bu,ran
不期然而然,bu,ran
不时之需,bu,xu
不食之地,bu,di
不为已甚,bu,shen
不文不武,bu,wu
不省人事,bu,shi
不一而足,bu,zu
不易一字,bu,zi
不义之财,bu,cai
不因人热,bu,re
不知死活,bu,huo
布被瓦器,bu,qi
才德兼备,cai,bei
参透机关,can,guan
仓皇出逃,cang,tao
草庐三顾,cao,gu
草长莺飞,cao,fei
侧目而视,ce,shi
参差不齐,cen,qi
层出不穷,ceng,qiong
插翅难飞,cha,fei
长安道上,chang,shang
长夜漫漫,chang,man
怅然若失,chang,shi
朝里无人莫做官,chao,guan
巢毁卵破,chao,po
沉博绝丽,chen,li
沉疴难起,chen,qi
臣门如市,chen,shi
尘饭涂羹,chen,geng
称家有无,chen,wu
称王称霸,cheng,ba
成败得失,cheng,shi
成人之美,cheng,mei
成则为王，败则为贼,cheng,zei
诚惶诚恐,cheng,kong
乘车戴笠,cheng,li
承欢膝下,cheng,xia
吃不了兜着走,chi,zou
池鱼笼鸟,chi,niao
尺壁寸阴,chi,yin
尺步绳趋,chi,qu
叱咤风云,chi,yun
重睹天日,chong,ri
稠人广众,chou,zhong
仇人相见，分外眼红,chou,hong
绸缪束薪,chou,xin
愁眉啼妆,chou,zhuang
出尘不染,chu,ran
刍荛之见,chu,jian
杵臼之交,chu,jiao
穿凿附会,chuan,hui
疮痍满目,chuang,mu
床上安床,chuang,chuang
闯荡江湖,chuang,hu
吹吹打打,chui,da
吹灰之力,chui,li
吹弹得破,chui,po
垂范百世,chui,shi
鹑居鷇食,chun,shi
纯正无邪,chun,xie
啜食吐哺,chuo,bu
